Table,Column,Peril,Country,Model
eqadcr,BASINID,eq,ad,0
eqadcr,COHES,eq,ad,0
eqadcr,CRITD,eq,ad,0
eqadcr,CTI,eq,ad,0
eqadcr,DC,eq,ad,0
eqadcr,DI,eq,ad,0
eqadcr,DISTRIV,eq,ad,0
eqadcr,ELEV,eq,ad,0
eqadcr,EQBI,eq,ad,0
eqadcr,FIRE,eq,ad,0
eqadcr,FIRE1,eq,ad,0
eqadcr,FIRE2,eq,ad,0
eqadcr,FIRE3,eq,ad,0
eqadcr,FIRE4,eq,ad,0
eqadcr,FIRE5,eq,ad,0
eqadcr,FIRE6,eq,ad,0
eqadcr,FIRE7,eq,ad,0
eqadcr,FIRE8,eq,ad,0
eqadcr,FIREUNC,eq,ad,0
eqadcr,GDMID,eq,ad,0
eqadcr,GEOID,eq,ad,0
eqadcr,GWD,eq,ad,0
eqadcr,LAND,eq,ad,0
eqadcr,LANDCV,eq,ad,0
eqadcr,LANDUNC,eq,ad,0
eqadcr,LIQ,eq,ad,0
eqadcr,LIQCV,eq,ad,0
eqadcr,LIQUNC,eq,ad,0
eqadcr,N160CS,eq,ad,0
eqadcr,NDVI,eq,ad,0
eqadcr,PHI,eq,ad,0
eqadcr,PRECIP,eq,ad,0
eqadcr,ROUGH,eq,ad,0
eqadcr,SLOPE,eq,ad,0
eqadcr,SOIL,eq,ad,0
eqadcr,SOILPERIOD,eq,ad,0
eqadcr,SOILPEROIDUNC,eq,ad,0
eqadcr,SOILTHICKNESS,eq,ad,0
eqadcr,SOILUNC,eq,ad,0
eqadcr,SOILVS,eq,ad,0
eqadcr,T15,eq,ad,0
eqadcr,TOPO,eq,ad,0
eqadcr,WFF,eq,ad,0
eqadcy,BASINID,eq,ad,0
eqadcy,COHES,eq,ad,0
eqadcy,CRITD,eq,ad,0
eqadcy,CTI,eq,ad,0
eqadcy,DC,eq,ad,0
eqadcy,DI,eq,ad,0
eqadcy,DISTRIV,eq,ad,0
eqadcy,ELEV,eq,ad,0
eqadcy,EQBI,eq,ad,0
eqadcy,FIRE,eq,ad,0
eqadcy,FIRE1,eq,ad,0
eqadcy,FIRE2,eq,ad,0
eqadcy,FIRE3,eq,ad,0
eqadcy,FIRE4,eq,ad,0
eqadcy,FIRE5,eq,ad,0
eqadcy,FIRE6,eq,ad,0
eqadcy,FIRE7,eq,ad,0
eqadcy,FIRE8,eq,ad,0
eqadcy,FIREUNC,eq,ad,0
eqadcy,GDMID,eq,ad,0
eqadcy,GEOID,eq,ad,0
eqadcy,GWD,eq,ad,0
eqadcy,LAND,eq,ad,0
eqadcy,LANDCV,eq,ad,0
eqadcy,LANDUNC,eq,ad,0
eqadcy,LIQ,eq,ad,0
eqadcy,LIQCV,eq,ad,0
eqadcy,LIQUNC,eq,ad,0
eqadcy,N160CS,eq,ad,0
eqadcy,NDVI,eq,ad,0
eqadcy,PHI,eq,ad,0
eqadcy,PRECIP,eq,ad,0
eqadcy,ROUGH,eq,ad,0
eqadcy,SLOPE,eq,ad,0
eqadcy,SOIL,eq,ad,0
eqadcy,SOILPERIOD,eq,ad,0
eqadcy,SOILPEROIDUNC,eq,ad,0
eqadcy,SOILTHICKNESS,eq,ad,0
eqadcy,SOILUNC,eq,ad,0
eqadcy,SOILVS,eq,ad,0
eqadcy,STATECODE,eq,ad,0
eqadcy,T15,eq,ad,0
eqadcy,TOPO,eq,ad,0
eqadcy,WFF,eq,ad,0
eqadpc,BASINID,eq,ad,0
eqadpc,COHES,eq,ad,0
eqadpc,CRITD,eq,ad,0
eqadpc,CTI,eq,ad,0
eqadpc,DC,eq,ad,0
eqadpc,DI,eq,ad,0
eqadpc,DISTRIV,eq,ad,0
eqadpc,ELEV,eq,ad,0
eqadpc,EQBI,eq,ad,0
eqadpc,FIRE,eq,ad,0
eqadpc,FIRE1,eq,ad,0
eqadpc,FIRE2,eq,ad,0
eqadpc,FIRE3,eq,ad,0
eqadpc,FIRE4,eq,ad,0
eqadpc,FIRE5,eq,ad,0
eqadpc,FIRE6,eq,ad,0
eqadpc,FIRE7,eq,ad,0
eqadpc,FIRE8,eq,ad,0
eqadpc,FIREUNC,eq,ad,0
eqadpc,GDMID,eq,ad,0
eqadpc,GEOID,eq,ad,0
eqadpc,GWD,eq,ad,0
eqadpc,LAND,eq,ad,0
eqadpc,LANDCV,eq,ad,0
eqadpc,LANDUNC,eq,ad,0
eqadpc,LIQ,eq,ad,0
eqadpc,LIQCV,eq,ad,0
eqadpc,LIQUNC,eq,ad,0
eqadpc,N160CS,eq,ad,0
eqadpc,NDVI,eq,ad,0
eqadpc,PHI,eq,ad,0
eqadpc,PRECIP,eq,ad,0
eqadpc,ROUGH,eq,ad,0
eqadpc,SLOPE,eq,ad,0
eqadpc,SOIL,eq,ad,0
eqadpc,SOILPERIOD,eq,ad,0
eqadpc,SOILPEROIDUNC,eq,ad,0
eqadpc,SOILTHICKNESS,eq,ad,0
eqadpc,SOILUNC,eq,ad,0
eqadpc,SOILVS,eq,ad,0
eqadpc,STATECODE,eq,ad,0
eqadpc,T15,eq,ad,0
eqadpc,TOPO,eq,ad,0
eqadpc,WFF,eq,ad,0
eqadvrg_geoid,STATECODE,eq,ad,0
eqadvrg_geoid,VRGHAZARD,eq,ad,0
eqadvrgliq,CRITD,eq,ad,0
eqadvrgliq,DC,eq,ad,0
eqadvrgliq,DI,eq,ad,0
eqadvrgliq,DISTRIV,eq,ad,0
eqadvrgliq,GEOID,eq,ad,0
eqadvrgliq,HAZ,eq,ad,0
eqadvrgliq,HAZUNC,eq,ad,0
eqadvrgliq,LIQCV,eq,ad,0
eqadvrgliq,N160CS,eq,ad,0
eqadvrgliq,T15,eq,ad,0
eqadvrgliq,WFF,eq,ad,0
eqadvrgsoil,GEOID,eq,ad,0
eqadvrgsoil,HAZ,eq,ad,0
eqadvrgsoil,HAZUNC,eq,ad,0
eqarcr,BASINID,eq,ar,0
eqarcr,COHES,eq,ar,0
eqarcr,CRITD,eq,ar,0
eqarcr,CTI,eq,ar,0
eqarcr,DC,eq,ar,0
eqarcr,DI,eq,ar,0
eqarcr,DISTRIV,eq,ar,0
